algoritmo,metric,value
tfidf,n_retrieved,1545.0
tfidf,n_gold,9.0
tfidf,P@5,0.8
tfidf,R@5,0.444444
tfidf,F1@5,0.571429
tfidf,nDCG@5,0.66084
tfidf,P@10,0.5
tfidf,R@10,0.555556
tfidf,F1@10,0.526316
tfidf,nDCG@10,0.52592
tfidf,P@20,0.4
tfidf,R@20,0.888889
tfidf,F1@20,0.551724
tfidf,nDCG@20,0.710723
tfidf,P@50,0.16
tfidf,R@50,0.888889
tfidf,F1@50,0.271186
tfidf,nDCG@50,0.710723
tfidf,AP,0.550065
tfidf,MRR,0.5
bbidf,n_retrieved,1545.0
bbidf,n_gold,9.0
bbidf,P@5,0.6
bbidf,R@5,0.333333
bbidf,F1@5,0.428571
bbidf,nDCG@5,0.684352
bbidf,P@10,0.7
bbidf,R@10,0.777778
bbidf,F1@10,0.736842
bbidf,nDCG@10,0.765467
bbidf,P@20,0.4
bbidf,R@20,0.888889
bbidf,F1@20,0.551724
bbidf,nDCG@20,0.825629
bbidf,P@50,0.18
bbidf,R@50,1.0
bbidf,F1@50,0.305085
bbidf,nDCG@50,0.867275
bbidf,AP,0.657577
bbidf,MRR,1.0
textrank,n_retrieved,1545.0
textrank,n_gold,9.0
textrank,P@5,0.6
textrank,R@5,0.333333
textrank,F1@5,0.428571
textrank,nDCG@5,0.639945
textrank,P@10,0.4
textrank,R@10,0.444444
textrank,F1@10,0.421053
textrank,nDCG@10,0.51144
textrank,P@20,0.4
textrank,R@20,0.888889
textrank,F1@20,0.551724
textrank,nDCG@20,0.751013
textrank,P@50,0.16
textrank,R@50,0.888889
textrank,F1@50,0.271186
textrank,nDCG@50,0.751013
textrank,AP,0.507538
textrank,MRR,1.0
