k,algoritmo,rbo,jaccard,overlap
5,tfidf,0.140634,0.428571,0.6
10,tfidf,0.311955,0.428571,0.6
20,tfidf,0.402471,0.538462,0.7
50,tfidf,0.432789,0.492537,0.66
5,bbidf,0.251071,0.428571,0.6
10,bbidf,0.383227,0.428571,0.6
20,bbidf,0.482429,0.666667,0.8
50,bbidf,0.516179,0.639344,0.78
