k,algoritmo,rbo,jaccard,overlap
5,tfidf,0.715589,0.428571,0.6
10,tfidf,0.631997,0.428571,0.6
20,tfidf,0.590823,0.25,0.4
50,tfidf,0.574077,0.449275,0.62
5,bbidf,0.715589,0.428571,0.6
10,bbidf,0.73618,0.538462,0.7
20,bbidf,0.705994,0.428571,0.6
50,bbidf,0.704631,0.666667,0.8
