rank,term,score,score_raw,in_gold
1,turístico,0.425504,35.202108,true
2,chachapoyas,0.312279,25.834932,false
3,festividad,0.282047,23.333798,true
4,actividad,0.268463,22.210006,true
5,folclórico,0.231687,19.167511,true
6,visitante,0.216574,17.917207,false
7,cultural,0.186836,15.457004,false
8,ciudad,0.177968,14.723385,false
9,turismo,0.16808,13.90529,true
10,investigación,0.165264,13.672317,false
11,tabla,0.136405,11.284802,false
12,promoción,0.110299,9.125062,false
13,tesis,0.099211,8.207789,false
14,folklore,0.094639,7.829502,false
15,resultado,0.08704,7.200836,false
16,objetivo,0.081336,6.728955,false
17,desacuerdo,0.080974,6.698998,false
18,totalmente,0.080696,6.676005,false
19,desarrollo,0.074739,6.18318,false
20,identidad,0.07462,6.173372,false
21,encuestado,0.072646,6.010015,false
22,local,0.066894,5.534152,false
23,porcentaje,0.066839,5.529596,false
24,satisfacción,0.065549,5.422915,false
25,afirmación,0.06512,5.387402,false
26,comunidad,0.064372,5.325492,false
27,cultura,0.063854,5.282622,false
28,folclore,0.063465,5.250467,true
29,dato,0.062649,5.18299,false
30,participación,0.061039,5.04978,false
31,experiencia,0.059926,4.957713,false
32,variable,0.058861,4.869575,false
33,lugar,0.058198,4.814754,false
34,influencia,0.055965,4.630012,false
35,relación,0.055067,4.555691,false
36,nivel,0.052684,4.35858,false
37,tourism,0.051705,4.277544,false
38,turista,0.050585,4.184931,false
39,correlación,0.050564,4.183187,false
40,positivo,0.050042,4.140011,false
41,conclusión,0.048652,4.024992,false
42,estudio,0.048397,4.0039,false
43,universidad,0.048209,3.988347,false
44,utilizar,0.047964,3.968092,false
45,participante,0.046649,3.859282,false
46,anexo,0.046458,3.843515,false
47,elemento,0.04618,3.82049,false
48,tiempo,0.045505,3.764653,false
49,método,0.044245,3.660395,false
50,persona,0.043553,3.603187,false
