k,algoritmo,rbo,jaccard,overlap
5,tfidf,0.425594,1.0,1.0
10,tfidf,0.585482,0.538462,0.7
20,tfidf,0.633274,0.6,0.75
50,tfidf,0.652134,0.639344,0.78
5,bbidf,0.747633,0.666667,0.8
10,bbidf,0.778798,0.666667,0.8
20,bbidf,0.781695,0.666667,0.8
50,bbidf,0.782859,0.612903,0.76
