rank,term,score,score_raw,in_gold
1,turístico,0.474497,688.977395,true
2,festividad,0.442656,642.743194,true
3,folclórico,0.367841,534.110542,true
4,chachapoyas,0.303341,440.455314,false
5,visitante,0.17526,254.479574,false
6,ciudad,0.171382,248.848696,false
7,actividad,0.164263,238.512965,true
8,desacuerdo,0.134636,195.493881,false
9,totalmente,0.134044,194.633503,false
10,turismo,0.114882,166.810664,true
11,promoción,0.110488,160.430744,false
12,cultural,0.108474,157.506429,false
13,tabla,0.097259,141.221604,false
14,porcentaje,0.096049,139.464654,false
15,afirmación,0.084478,122.662827,false
16,investigación,0.076388,110.91693,false
17,folklore,0.075542,109.687944,false
18,satisfacción,0.066293,96.258446,false
19,folclore,0.059017,85.693706,true
20,identidad,0.056499,82.038032,false
21,encuestado,0.055611,80.748326,false
22,desarrollo,0.053926,78.301407,false
23,participante,0.051935,75.410461,false
24,válido,0.051935,75.410461,false
25,influencia,0.047983,69.67216,false
26,participación,0.047477,68.937038,false
27,conclusión,0.044853,65.127216,false
28,participar,0.043251,62.801323,false
29,turística,0.042186,61.255375,false
30,experiencia,0.041706,60.557535,false
31,resultado,0.041111,59.694502,false
32,celebración,0.039599,57.4982,false
33,frecuencia,0.039097,56.769908,false
34,positivo,0.038498,55.899263,false
35,revelar,0.036959,53.664987,false
36,correlación,0.036894,53.570127,false
37,variable,0.036472,52.958102,false
38,método,0.03616,52.504607,false
39,satisfecho,0.03541,51.416224,false
40,cultura,0.035225,51.146835,false
41,influir,0.034601,50.241059,false
42,expresar,0.034319,49.831773,false
43,comunidad,0.03377,49.035279,false
44,lugar,0.033715,48.954701,false
45,tesis,0.032684,47.457646,false
46,local,0.032495,47.18258,false
47,sugerir,0.032438,47.100992,false
48,turista,0.032162,46.699284,false
49,decisión,0.032142,46.670762,false
50,destacar,0.032016,46.488218,false
