algoritmo,metric,value
tfidf,n_retrieved,1163.0
tfidf,n_gold,7.0
tfidf,P@5,0.2
tfidf,R@5,0.142857
tfidf,F1@5,0.166667
tfidf,nDCG@5,0.146068
tfidf,P@10,0.2
tfidf,R@10,0.285714
tfidf,F1@10,0.235294
tfidf,nDCG@10,0.201129
tfidf,P@20,0.15
tfidf,R@20,0.428571
tfidf,F1@20,0.222222
tfidf,nDCG@20,0.271486
tfidf,P@50,0.12
tfidf,R@50,0.857143
tfidf,F1@50,0.210526
tfidf,nDCG@50,0.439106
tfidf,AP,0.180889
tfidf,MRR,0.25
bbidf,n_retrieved,1163.0
bbidf,n_gold,7.0
bbidf,P@5,0.2
bbidf,R@5,0.142857
bbidf,F1@5,0.166667
bbidf,nDCG@5,0.16958
bbidf,P@10,0.2
bbidf,R@10,0.285714
bbidf,F1@10,0.235294
bbidf,nDCG@10,0.224152
bbidf,P@20,0.15
bbidf,R@20,0.428571
bbidf,F1@20,0.222222
bbidf,nDCG@20,0.292871
bbidf,P@50,0.12
bbidf,R@50,0.857143
bbidf,F1@50,0.210526
bbidf,nDCG@50,0.463169
bbidf,AP,0.201208
bbidf,MRR,0.333333
textrank,n_retrieved,1163.0
textrank,n_gold,7.0
textrank,P@5,0.2
textrank,R@5,0.142857
textrank,F1@5,0.166667
textrank,nDCG@5,0.33916
textrank,P@10,0.1
textrank,R@10,0.142857
textrank,F1@10,0.117647
textrank,nDCG@10,0.274876
textrank,P@20,0.15
textrank,R@20,0.428571
textrank,F1@20,0.222222
textrank,nDCG@20,0.412991
textrank,P@50,0.12
textrank,R@50,0.857143
textrank,F1@50,0.210526
textrank,nDCG@50,0.589692
textrank,AP,0.290138
textrank,MRR,1.0
