rank,term,score,score_raw,in_gold
1,hogar,0.559499,846.429418,false
2,turístico,0.271894,411.329788,false
3,turismo,0.26391,399.251754,true
4,porcentaje,0.238603,360.967339,false
5,jefe,0.188494,285.160713,false
6,kuelap,0.177366,268.324934,false
7,efecto,0.164559,248.949829,false
8,pobreza,0.152591,230.844387,true
9,variable,0.143913,217.71664,false
10,visita,0.133763,202.360478,false
11,chachapoyas,0.129184,195.433815,false
12,figura,0.118245,178.884724,false
13,provincia,0.117694,178.051076,false
14,turista,0.110246,166.783157,false
15,acceso,0.102896,155.66428,true
16,número,0.09761,147.668457,false
17,observar,0.097554,147.58311,false
18,nivel,0.0939,142.055516,false
19,flujo,0.091327,138.162911,false
20,nota,0.090631,137.109929,false
21,socioeconómico,0.090631,137.109929,false
22,completo,0.086149,130.329254,false
23,ingreso,0.084837,128.344595,true
24,evolución,0.081081,122.662827,false
25,positivo,0.080058,121.115069,false
26,resultado,0.076894,116.327747,false
27,relación,0.073536,111.247236,true
28,universitario,0.07348,111.163187,false
29,promedio,0.07134,107.926137,false
30,mensual,0.070946,107.329974,false
31,mostrar,0.070291,106.33927,false
32,regresión,0.063345,95.830334,false
33,condición,0.063111,95.476664,false
34,correlación,0.058504,88.507166,false
35,servicio,0.056676,85.741063,true
36,tabla,0.051861,78.456447,false
37,educativo,0.050676,76.664267,false
38,población,0.050364,76.191623,false
39,estudio,0.049244,74.498476,false
40,celular,0.048142,72.831054,false
41,extremo,0.048142,72.831054,false
42,actividad,0.04753,71.904644,false
43,económico,0.047406,71.717521,false
44,tendencia,0.045316,68.554965,false
45,economía,0.044347,67.08922,false
46,principal,0.043269,65.459172,false
47,incremento,0.04305,65.127216,false
48,sector,0.040801,61.725492,false
49,agua,0.04049,61.255375,false
50,modelo,0.04049,61.255375,false
