k,algoritmo,rbo,jaccard,overlap
5,tfidf,0.393001,0.666667,0.8
10,tfidf,0.527409,0.428571,0.6
20,tfidf,0.558594,0.6,0.75
50,tfidf,0.582763,0.612903,0.76
5,bbidf,0.569371,0.666667,0.8
10,bbidf,0.568226,0.333333,0.5
20,bbidf,0.606886,0.666667,0.8
50,bbidf,0.628406,0.666667,0.8
